material,categoria,sku,precio,imagenes,carpeta
Oro 18k,Dijes,26360-U,35000,5,Catalogo Oro\Dijes\26360-U
Oro 18k,Dijes,20003,70000,3,Catalogo Oro\Dijes\20003
Oro 18k,Dijes,23217-VERDE,105000,4,Catalogo Oro\Dijes\23217-VERDE
Oro 18k,Dijes,23227,90000,3,Catalogo Oro\Dijes\23227
Oro 18k,Dijes,21684-CRISTAL,215000,3,Catalogo Oro\Dijes\21684-CRISTAL
Oro 18k,Dijes,23319,105000,3,Catalogo Oro\Dijes\23319
Oro 18k,Dijes,23186,55000,3,Catalogo Oro\Dijes\23186
Oro 18k,Dijes,23214,60000,6,Catalogo Oro\Dijes\23214
Oro 18k,Dijes,27360-V,45000,1,Catalogo Oro\Dijes\27360-V
Oro 18k,Dijes,23172,55000,4,Catalogo Oro\Dijes\23172
Oro 18k,Dijes,26360-E,35000,5,Catalogo Oro\Dijes\26360-E
Oro 18k,Dijes,24448-MATE,215000,1,Catalogo Oro\Dijes\24448-MATE
Oro 18k,Dijes,23395,70000,3,Catalogo Oro\Dijes\23395
Oro 18k,Dijes,20005,75000,3,Catalogo Oro\Dijes\20005
Oro 18k,Dijes,26360-O,35000,3,Catalogo Oro\Dijes\26360-O
Oro 18k,Dijes,23119,85000,3,Catalogo Oro\Dijes\23119
Oro 18k,Dijes,26360-F,35000,3,Catalogo Oro\Dijes\26360-F
Oro 18k,Dijes,27360-N,45000,1,Catalogo Oro\Dijes\27360-N
Oro 18k,Dijes,23394,60000,4,Catalogo Oro\Dijes\23394
Oro 18k,Dijes,23219,80000,4,Catalogo Oro\Dijes\23219
Oro 18k,Dijes,23306,105000,4,Catalogo Oro\Dijes\23306
Oro 18k,Dijes,23102,50000,5,Catalogo Oro\Dijes\23102
Oro 18k,Dijes,27360-E,45000,1,Catalogo Oro\Dijes\27360-E
Oro 18k,Dijes,23275,60000,3,Catalogo Oro\Dijes\23275
Oro 18k,Dijes,25360-T,50000,5,Catalogo Oro\Dijes\25360-T
Oro 18k,Dijes,23193,100000,4,Catalogo Oro\Dijes\23193
Oro 18k,Dijes,23383,60000,3,Catalogo Oro\Dijes\23383
Oro 18k,Dijes,23231,65000,4,Catalogo Oro\Dijes\23231
Oro 18k,Dijes,23370-Y,60000,3,Catalogo Oro\Dijes\23370-Y
Oro 18k,Dijes,23370-F,60000,3,Catalogo Oro\Dijes\23370-F
Oro 18k,Dijes,20002,50000,3,Catalogo Oro\Dijes\20002
Oro 18k,Dijes,23313,90000,3,Catalogo Oro\Dijes\23313
Oro 18k,Dijes,23319-COLORES,105000,3,Catalogo Oro\Dijes\23319-COLORES
Oro 18k,Dijes,23378,40000,3,Catalogo Oro\Dijes\23378
Oro 18k,Dijes,23259,50000,5,Catalogo Oro\Dijes\23259
Oro 18k,Dijes,23185,40000,5,Catalogo Oro\Dijes\23185
Oro 18k,Dijes,23360-P,65000,4,Catalogo Oro\Dijes\23360-P
Oro 18k,Dijes,23216-VERDE,95000,5,Catalogo Oro\Dijes\23216-VERDE
